French,English
cas,case
vont,will
chaque,each
terre,Earth
place,square
tué,kill
type,type
main,hand
pardon,sorry
ensemble,together
seulement,only
guerre,war
beau,beautiful
vers,towards
mme,Mrs
prie,pray
devant,in front of
trouve,find
partie,part
suite,after
compris,including
matin,morning
leurs,their
aucun,no
arrivé,come
dessus,above
chérie,sweetheart
mettre,to put
aide,help
étaient,were
ie,ie
perdu,lost
fin,end
sois,be
premier,first
genre,kind
aimerais,would like to
droit,law
donne,given
attendez,Wait
jeune,young
feu,fire
devrais,should
enfant,child
chambre,bedroom
gros,large
côté,side
venu,came
loin,far
laisser,let
donner,give
jouer,to play
savais,knew
compte,account
s,s
parlé,speak
minutes,minutes
regardez,look
train,train
première,first
pouvoir,power
aura,will have
mourir,die
dernière,latest
donné,given
ia,ia
mari,husband
écoute,listen
enfin,finally
devrait,should
mis,placed
film,movie
aucune,any
fort,strong
façon,way
pays,country
prêt,ready
madame,Mrs
femmes,women
affaire,case
pourrais,could
espère,hope
parti,left
h,h
boulot,job
endroit,in law
fou,crazy
corps,body
hier,yesterday
dont,whose
désolée,sorry
grande,big
point,point
cinq,five
dehors,outside
filles,girls
cause,cause
vivre,live
près,near
pensais,thought
garçon,boy
chef,chief
haut,high
capitaine,captain
dirait,would say
bébé,baby
celui,the one
demandé,request
possible,possible
mains,hands
ainsi,so
quatre,four
nouvelle,new
années,years
plein,full
semaine,week
dites,say
croire,believe
marche,market
tour,tower
école,school
manger,eat
plutôt,rather
docteur,doctor
ceux,those
vérité,truth
vue,view
arrêter,Stop
essaie,try
envie,desire
bientôt,soon
instant,moment
dernier,latest
affaires,business
arriver,arrive
demander,request
meilleur,better
font,make
derrière,behind
c,vs
dollars,dollars
presque,almost
dr,dr
tellement,so much
tomber,fall
journée,day
voulait,wanted to
appeler,call
bureau,office
confiance,trust
garde,keep
attendre,expect
numéro,number
serai,will
dur,hard
á,at
souviens,remember
o,o
voyez,see
cours,Classes
bonsoir,Good evening
route,road
fera,will
prend,take
cul,ass
abord,on board
important,important
peine,trouble
croyais,thought
mot,word
devez,must
suffit,enough
minute,minute
ferme,closed
ben,ben
plaisir,pleasure
chien,dog
jeu,Game
seigneur,Lord
messieurs,gentlemen
